"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Iqgap1",0.0732459514016549,0.647324620271971,10.8159796648228,2.97197785621954e-08,4.63581619604097e-06,9.00119247591338
"Smad7.7",-0.129601618709728,0.498832861981581,-10.8020314386013,3.02141385832787e-08,4.66431154024804e-06,8.98391743832633
"Cdc42bpa.1",0.0261178837125358,0.932288738215251,10.7205297475523,3.02172222467734e-08,4.66431154024804e-06,8.97070888539882
"Pcdh17.10",0.0769499751822532,0.664383345997767,10.7740013855323,3.12342053389089e-08,4.79631162502199e-06,8.94914733398152
"Kmt2a",0.106833843758429,0.756424031151862,10.7690637552162,3.14176539379964e-08,4.79961345237319e-06,8.94301484850553
"Nfix.10",-0.103362507188345,0.670604502730784,-10.7529831611977,3.20230751087907e-08,4.80262794960509e-06,8.92302718628476
"Mitf.9",0.0523302140256307,0.772538313779536,10.752685206995,3.20344091012364e-08,4.80262794960509e-06,8.92265661143954
"Mbd6.1",0.143710312677443,0.478136185228813,10.7526316733844,3.2036445938026e-08,4.80262794960509e-06,8.92259002915737
"Cpeb2.6",0.1590970042121,0.466316108538969,10.7513413914227,3.20855799852147e-08,4.80262794960509e-06,8.92098516365652
"Fap.1",-0.0779344218999517,0.87588549085053,-10.7429264718173,3.24079907042151e-08,4.8198919549493e-06,8.9105147945743
"Dpysl3",-0.117086590997028,0.767325229607074,-10.7384320059091,3.25816008144125e-08,4.8198919549493e-06,8.90491979178618
"Fto.13",0.0859910940094196,0.875972048767168,10.7305917336072,3.28868203385295e-08,4.8198919549493e-06,8.89515519597179
"Pax2.15",-0.0569306681275648,0.321143500656128,-10.7304783753699,3.28912555524785e-08,4.8198919549493e-06,8.89501397286181
"Rpl28.ps2.1",-0.114233006351449,0.60502796177679,-10.7273457694256,3.30140725058105e-08,4.8198919549493e-06,8.89111085790748
"Pou3f1.27",-0.0705456861758107,0.845285510395288,-10.7041103662266,3.39403878168344e-08,4.93083957709569e-06,8.862131709706
"Pbx1.75",0.10238411823454,0.603456434884108,10.6936306317394,3.43671766093053e-08,4.96848786912186e-06,8.84904484996754
"Rbm27.9",0.0581922685503338,0.808246084012959,10.6794440525206,3.49540311277364e-08,4.98507855265283e-06,8.8313125373019
"Nfix.37",-0.080503628654708,0.714565955470636,-10.6790174823279,3.49718410055363e-08,4.98507855265283e-06,8.83077905904366
"Gm8707.1",-0.145725370080648,0.569778412221975,-10.6771621761209,3.5049414732911e-08,4.98507855265283e-06,8.82845857238645
"Unc119.1",-0.0682553736306703,0.712121921417974,-10.6746498025186,3.51547530959423e-08,4.98507855265283e-06,8.82531575592127
"Srf.6",0.124729766150611,0.454940466980834,10.6624540861767,3.56708927077101e-08,5.03418212942097e-06,8.81005126407941
"Nr2f2.37",-0.0857190049252789,0.320194696604389,-10.6516473940481,3.61349748518112e-08,5.0755082923371e-06,8.79651360294822
"Foxo6.7",-0.0846740795021561,0.416575815695872,-10.6422895489016,3.65420194732935e-08,5.1084709015566e-06,8.78478202800494
"Bnc2.33",-0.0948685762547337,0.40307901804023,-10.6293428726096,3.71132182720651e-08,5.16396455365819e-06,8.76853763383864
"Gm20721.8",0.0525906673393587,0.84852812787684,10.6216294266556,3.74580321531795e-08,5.16924170739618e-06,8.75885191930458
"Zcchc7.3",0.115728467934839,0.465757365174739,10.6206961620788,3.74999820187664e-08,5.16924170739618e-06,8.75767964429953
