"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Efna5.12",-0.0530639990996506,0.465921127760856,-5.80535027134221,1.48252769108163e-07,2.36130376031232e-05,5.74193665156282
"Satb1.2",-0.0244658836875252,0.718108298260917,-5.80366835566164,1.49279562395888e-07,2.36130376031232e-05,5.73513439380442
"Gm45647.31",-0.0337099196024614,0.739406675933472,-5.80284061248192,1.49787463960157e-07,2.36130376031232e-05,5.73178698158438
"Gm26897.15",0.0274877292432331,0.605859966748877,5.8008902407713,1.5099095743656e-07,2.36768201351711e-05,5.72390034389106
"Rnf20.2",0.0232992531386955,0.86051330431246,5.79059370207812,1.57504357696423e-07,2.4568192889731e-05,5.68228121012457
"Tnrc6a.6",0.0352806179558016,0.323346608680605,5.78535639286263,1.60922923893955e-07,2.49700141122783e-05,5.66112245164225
"Wnt4.1",-0.0350237328243719,0.626678312963868,-5.77909210594856,1.65108038394727e-07,2.54859736140861e-05,5.63582421874055
"Comtd1.3",-0.0391646156709743,0.652139637762647,-5.77586549267864,1.67305406432558e-07,2.56913488623923e-05,5.6227976440724
"Nbea.9",-0.0310226157141461,0.605895619140845,-5.77189617877504,1.70048153811262e-07,2.59779233737339e-05,5.60677640958826
"Eri3.77",-0.0331404115571596,0.613541533073906,-5.76948919703183,1.71732893795129e-07,2.61007578123397e-05,5.59706321513172
"Sox6.46",0.0495812652996567,0.445390236034702,5.76691532837132,1.73552655703762e-07,2.62427553933286e-05,5.58667826837061
"Gm11256",0.0324876885143048,0.71800375761112,5.76533318168757,1.74680678103863e-07,2.62792449592091e-05,5.58029556013627
"Cadm1.12",-0.0286976204946736,0.801983200639079,-5.76160904644722,1.7736448663132e-07,2.65482388398608e-05,5.56527426337002
"Gm9038.1",0.0168415920271609,0.803904757199697,5.75872597770625,1.7947006108218e-07,2.67284130667968e-05,5.55364795413123
"Ppp1r9b.1",-0.0127878923072633,0.0770961477441189,-5.75423688903742,1.82130884004535e-07,2.6989065046212e-05,5.53873743154645
"Haao.3",-0.0393536043845931,0.619337921682864,-5.75330892827833,1.83493131603202e-07,2.70556514493736e-05,5.53180909609274
"Ddx5",0.0321003744206442,0.443840108364773,5.75086043044192,1.85340605451024e-07,2.71927699195643e-05,5.52194055069806
"Hnrnph1.3",0.0435065119702037,0.251605080819479,5.72975409262746,2.02045453017196e-07,2.94976408427124e-05,5.43693956247794
"Zcchc7.9",-0.0210265338936018,0.651149323817342,-5.71450042371078,2.15033567726813e-07,3.12399502290174e-05,5.37558412407374
"Prox1.7",-0.0352487479697386,0.776311311466423,-5.71227347403831,2.16997347546391e-07,3.13714653133288e-05,5.36663189131649
"Gabrg3",0.0299547859079377,0.580616032377588,5.70056052562859,2.27620713763499e-07,3.2747548999072e-05,5.31956879111619
"Lrrc41.5",-0.0214160287016754,0.848901363332084,-5.69599151709421,2.3190223586172e-07,3.31192126303088e-05,5.30122056701961
"Gm48736.2",-0.0293281033435268,0.16056087910265,-5.69542452831177,2.32439053450222e-07,3.31192126303088e-05,5.29894405532908
"Tbc1d5",-0.0237193217956901,0.694516200051882,-5.69413040922,2.33668899676245e-07,3.31351444005018e-05,5.29374838178649
"Fbn1",-0.0316300275872294,0.545166379059555,-5.68990705163956,2.37727279810148e-07,3.3282026355739e-05,5.27679552334408
"Clk4.2",0.0362787837595323,0.798882924678069,5.68894163768556,2.38664689936535e-07,3.3282026355739e-05,5.27292097623515
"Tle4.24",-0.0269692290548956,0.1940229267881,-5.68832539955895,2.39264956225482e-07,3.3282026355739e-05,5.27044793005473
"Celf4.37",-0.0302943863044839,0.427711263077691,-5.68712406482564,2.40439434204714e-07,3.3282026355739e-05,5.2656271154246
"Map3k20.12",-0.0191057699337764,0.630357797601701,-5.68640609753655,2.41144060748391e-07,3.3282026355739e-05,5.26274618842283
